category,wine,slug,sku,pack,on_hand,ready
PURE,"NV Ca'stele Prosecco DOC",ca-stele-nv-ca-stele-prosecco-doc,397728,12/750,5.58,true
PURE,"NV Ca'stele Prosecco DOC",ca-stele-nv-ca-stele-prosecco-doc,397731,12/750,100.00,true
CASE,"Château la Rose Pourret Saint Emilion Grand Cru 2019",chateau-la-rose-pourret-saint-emilion-grand-cru-2019,520660,6/750,41.00,true
CASE,"Château la Rose Pourret Saint Emilion Grand Cru 2019",chateau-la-rose-pourret-saint-emilion-grand-cru-2019,520716,12/750,80.00,true
PURE,"Château Pibran Pauillac 2018",chateau-pibran-pauillac-2018,520432,6/750,0.17,true
PURE,"Château Pibran Pauillac 2018",chateau-pibran-pauillac-2018,520492,6/750,56.75,true
CASE,"Château Rauzan Segla Margaux 2019",chateau-rauzan-segla-margaux-2019,520731,6/750,8.00,true
CASE,"Château Rauzan Segla Margaux 2019",chateau-rauzan-segla-margaux-2019,520732,12/750,5.00,true
CASE,"Château Rauzan Segla Margaux 2019",chateau-rauzan-segla-margaux-2019,520713,12/750,3.00,true
BOTTLE,"Coastal Ridge — Chardonnay California 2023",coastal-ridge-chardonnay-california-2023,571048,12/750,22.00,true
BOTTLE,"Coastal Ridge — Chardonnay California 2023",coastal-ridge-chardonnay-california-2023,571053,6/1500,5.00,true
PURE,"Domaine Arnaud Lambert Cremant de Loire Rose",domaine-arnaud-lambert-cremant-de-loire-rose,730119,12/750,0.75,true
PURE,"Domaine Arnaud Lambert Cremant de Loire Rose",domaine-arnaud-lambert-cremant-de-loire-rose,730135,12/750,26.92,true
BOTTLE,"Domaine Bastide Blanche Bandol Rose 2025",domaine-bastide-blanche-bandol-rose-2025,473943,12/750,13.00,true
BOTTLE,"Domaine Bastide Blanche Bandol Rose 2025",domaine-bastide-blanche-bandol-rose-2025,473944,3/1500,6.00,true
BOTTLE,"Domaine Bruno Clair Bonnes Mares Grand Cru 2023",domaine-bruno-clair-bonnes-mares-grand-cru-2023,714167,6/750,16.00,true
BOTTLE,"Domaine Bruno Clair Bonnes Mares Grand Cru 2023",domaine-bruno-clair-bonnes-mares-grand-cru-2023,714168,3/1500,1.00,true
PURE,"Domaine Bruno Colin Chassagne Montrachet 1er Cru en Remilly 2023",domaine-bruno-colin-chassagne-montrachet-1er-cru-en-remilly-2023,660925,6/750,2.00,true
PURE,"Domaine Bruno Colin Chassagne Montrachet 1er Cru en Remilly 2023",domaine-bruno-colin-chassagne-montrachet-1er-cru-en-remilly-2023,660918,6/750,3.00,true
PURE,"Domaine Bruno Colin Chassagne Montrachet 1er Cru la Maltroie Blanc 2023",domaine-bruno-colin-chassagne-montrachet-1er-cru-la-maltroie-blanc-2023,660917,6/750,4.00,true
PURE,"Domaine Bruno Colin Chassagne Montrachet 1er Cru la Maltroie Blanc 2023",domaine-bruno-colin-chassagne-montrachet-1er-cru-la-maltroie-blanc-2023,660923,6/750,0.83,true
PURE,"Domaine Bruno Colin Chassagne Montrachet 1er Cru les Chaumees 2023",domaine-bruno-colin-chassagne-montrachet-1er-cru-les-chaumees-2023,660922,6/750,1.83,true
PURE,"Domaine Bruno Colin Chassagne Montrachet 1er Cru les Chaumees 2023",domaine-bruno-colin-chassagne-montrachet-1er-cru-les-chaumees-2023,660916,6/750,1.00,true
PURE,"Domaine Bruno Colin Chassagne Montrachet Blanc 2023",domaine-bruno-colin-chassagne-montrachet-blanc-2023,660915,6/750,4.00,true
PURE,"Domaine Bruno Colin Chassagne Montrachet Blanc 2023",domaine-bruno-colin-chassagne-montrachet-blanc-2023,660921,6/750,6.00,true
BOTTLE,"Domaine des Comte Lafon Meursault 2023",domaine-des-comte-lafon-meursault-2023,714822,6/1500,1.00,true
